feature,importance_mean,importance_std
player_passing_skill,0.03131815600491685,0.003416001618760017
forward_progress,0.025183306855676314,0.002820247065963005
last_defensive_line_x,0.024551437341403526,0.005617744485480499
pass_distance,0.021083702942254624,0.004676170945184189
speed_avg,0.020251633587566664,0.004200011999946143
last_defensive_line_height,0.020125834765043638,0.005467136737722002
pass_angle,0.01429955215619173,0.0030968862450761704
pitch_control_origin,0.008189143921041375,0.001596695218094049
pitch_control_dest,0.006887844958342526,0.0012071671752010259
pitch_control_path_min,0.006742816887233849,0.0011769114834097902
inside_defensive_shape,0.003853038221276439,0.00101613390135263
defenders_near_origin,0.0028328097706147525,0.0011681147953089546
min_defender_dist_to_lane,0.0017911955201241447,0.0008305394400777076
defenders_near_dest,0.0009763785753821419,0.00035504502447689524
defenders_in_lane,0.00012148572003640723,6.226568427782254e-05
